职位,公司,城市,薪资,经验,学历
编程教研（Python）,成都娄外科技有限公司,成都,10k-20k,不限,本科
Python爬虫及反爬实习工程师（可转正）,南京聪明狗网络技术有限公司,南京,8k-16k,在校/应届,本科
python开发实习生,广州微易软件有限公司,广州,2k-3k,在校/应届,本科
python开发实习,上海邻我信息技术有限公司,上海,2k-4k,在校/应届,不限
Python开发实习生,深圳贝尔信息科技有限公司,深圳,3k-6k,在校/应届,本科
python前端开发工程师,上海潜链信息科技有限公司,上海,20k-40k,在校/应届,本科
python后端开发工程师,上海潜链信息科技有限公司,上海,20k-40k,在校/应届,本科
Python爬虫实习生,深圳爱数云科技有限公司,深圳,6k-10k,在校/应届,本科
Python开发实习生,南京维伍网络科技有限公司,南京,3k-4k,在校/应届,本科
Python开发实习生,西门子（中国）有限公司,北京,3k-5k,在校/应届,本科
Python开发工程师-2023届,友邦资讯科技（广州）有限公司,成都,4k-5k,在校/应届,本科
少儿编程Python老师/双休/六险一金,北京思明启创科技有限公司,济南,6k-8k,1-3年,本科
python讲师,四川码乙科技有限公司,成都,12k-16k,3-5年,本科
Python云平台后端开发工程师,江苏博云科技股份有限公司,南京,6k-10k,在校/应届,本科
Python开发&amp;讲师,优选创新（北京）科技有限公司,北京,8k-15k,1-3年,本科
python少儿教师,北京中诚泰信科技有限公司,北京,3k-6k,不限,本科
Python爬虫实习生,北京氢元数据信息技术有限公司,北京,4k-6k,在校/应届,本科
Python开发实习,上海格蓝威驰信息科技有限公司,上海,3k-5k,在校/应届,本科
python爬虫工程师,上海穰川信息技术有限公司,上海,5k-9k,在校/应届,本科
python编程教师,吉林优聚教育咨询有限公司,通化,3k-5k,在校/应届,大专
RPA/Python开发实习生,上海神兵巧匠智能科技有限公司,上海,3k-5k,在校/应届,大专
python实习生,安徽领云物联科技有限公司,合肥,5k-7k,不限,硕士
python开发实习生,广州字言智语科技有限公司,广州,2k-3k,在校/应届,不限
python工程师（实习岗）,苏州展识科技有限公司,武汉,2k-4k,在校/应届,本科
python后端开发工程师,深圳市魔数智擎人工智能有限公司,深圳,12k-18k,1-3年,本科
2023- Python/Golong 开发工程师(J10261),北京四维图新科技股份有限公司,北京,15k-25k,在校/应届,本科
Python爬虫基础讲师,湖南六星教育网络科技有限公司,成都,6k-10k,1-3年,不限
(有住宿）Python中级讲师,郑州积云教育科技有限公司,郑州,11k-13k,1-3年,本科
java/c++/c/python/web前端\测试,北京外企德科人力资源服务上海有限公司,北京,20k-40k,3-5年,本科
Java/python/c++/全额社保公积金,北京外企德科人力资源服务上海有限公司,杭州,14k-28k,不限,本科
数据仓库（本科，会java或者python）,科锐尔人力资源服务（苏州）有限公司,深圳,20k-40k,不限,本科
运维开发python,张家港市汇智人力资源有限公司,北京,40k-70k,不限,本科
Java/python/前端/C++/C开发—东莞,陕西科锐尔人力资源服务有限公司,东莞,15k-30k,不限,本科
软件开发（Java 安卓 Python iOS C++ ）,陕西科锐尔人力资源服务有限公司,深圳,15k-30k,不限,本科
自动化测试（大量招人，会python或者java),科锐尔人力资源服务（苏州）有限公司,深圳,20k-40k,不限,本科
中级测试开发（python),张家港市汇智人力资源有限公司,北京,30k-60k,不限,本科
海外python工程师,江苏仕程企业管理咨询有限公司,北京,30k-40k,3-5年,本科
Python爬虫（双休）,杭州诗迈医药科技有限公司,杭州,8k-15k,3-5年,大专
python后端开发工程师,上海沃锐企业发展有限公司,上海,12k-20k,3-5年,本科
python后端开发工程师,先路（北京）咨询有限公司,广州,25k-40k,3-5年,本科
Java/C++/C/Python/web/Go/测试/安卓,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
java/python/c/c++/go/js/scala各软件开发,北京外企德科人力资源服务上海有限公司,杭州,14k-28k,不限,本科
软件开发工程师（python）,科锐尔人力资源服务（苏州）有限公司,西安,15k-25k,不限,本科
"软件开发（java,python,c++等）",科锐尔人力资源服务（苏州）有限公司,深圳,15k-30k,不限,本科
Java/python/前端/C++/C开发—西安,陕西科锐尔人力资源服务有限公司,西安,15k-30k,不限,本科
Java/python/前端/C++/C开发—上海,陕西科锐尔人力资源服务有限公司,上海,15k-30k,不限,本科
中级python开发工程师,深圳市四通八达猎头有限公司,深圳,20k-40k,1-3年,本科
Python高级开发工程师,广州章伟企业管理咨询有限公司,重庆,15k-30k,3-5年,本科
数据开发工程师（python&amp;c++）,深圳市四通八达猎头有限公司,深圳,20k-40k,不限,本科
python后端开发工程师,上海翰德人力资源有限公司,北京,25k-50k,不限,本科
java（也招Python开发、c、c++、web前端和测试）,成都科之锐人力资源服务有限公司,深圳,13k-26k,1-3年,本科
日语Python,日通（大连）人才咨询有限公司,上海,23k-35k,3-5年,本科
服务端开发工程师-正编（Python服务端）,广州摩芋信息技术有限公司,杭州,20k-40k,3-5年,本科
python全栈开发,上海仕进信息科技有限公司,成都,18k-23k,5-10年,本科
python数据开发工程师,领智人力资源管理（深圳）有限公司,北京,30k-45k,1-3年,本科
JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,西安,15k-25k,1-3年,本科
C/C++/Java/Python/Web开发,北京外企德科人力资源服务上海有限公司,深圳,18k-36k,不限,本科
软件开发（python）,科锐尔人力资源服务（苏州）有限公司,深圳,15k-30k,不限,本科
软件开发（Python/Java/C++/C),科锐尔人力资源服务（苏州）有限公司,西安,18k-35k,不限,本科
Java/python/前端/C++/C开发—武汉,陕西科锐尔人力资源服务有限公司,武汉,15k-30k,不限,本科
Java/python/前端/C++/C开发—北京,陕西科锐尔人力资源服务有限公司,北京,15k-30k,不限,本科
数据开发工程师（python&amp;c++）,深圳市四通八达猎头有限公司,上海,20k-40k,不限,本科
数据开发工程师（python&amp;c++）,深圳市四通八达猎头有限公司,北京,20k-40k,不限,本科
软件开发工程师（python）,科锐数字科技（苏州）有限公司,西安,20k-40k,1-3年,本科
高级java开发工程师（还招python、大数据、前端、测试）,成都科之锐人力资源服务有限公司,深圳,15k-30k,不限,本科
量化系统开发工程师（python),领智人力资源管理（深圳）有限公司,深圳,30k-60k,3-5年,硕士
c++/python工程师,领智人力资源管理（深圳）有限公司,上海,25k-50k,不限,本科
软件开发工程师[python丨saas软件],成都科之锐人力资源服务有限公司,西安,20k-25k,不限,本科
python高级开发工程师,成都纳欣人力资源服务有限公司,上海,20k-30k,5-10年,本科
od岗-测试-Python-周末双休-高额社保公积金,北京科锐国际人力资源股份有限公司苏州分公司,深圳,15k-25k,1-3年,本科
